0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> c_last_name,c_first_name,c_salutation,c_preferred_cust_flag,ss_ticket_number,cnt
Hudgins,Dudley,Sir,N,110384362,5
Randolph,Shawnee,Ms.,Y,1812280555,5
Hoover,Jose,Mr.,Y,2036984676,5
Perez,Francis,Dr.,N,659489001,5
Clemons,Christine,Miss,N,960349630,5
Butler,Sherita,Miss,Y,1959443010,5
Hubbard,Martha,Miss,Y,595702877,5
Olivas,Anna,Ms.,Y,1360597781,5
Hagan,James,Dr.,Y,1940171077,5
Beasley,Shannon,Dr.,Y,2064766225,5
Mayes,Stacy,Dr.,N,2062814293,5
,,,,1096544861,5
Cain,James,Dr.,N,1866292347,5
Caldwell,Anthony,Mrs.,N,1371298139,5
Marsh,Fern,Mrs.,N,449121068,5
Mccall,Hazel,Mrs.,Y,206037948,5
Hall,Joel,Mr.,Y,1942071414,5
Rohde,Lisa,Miss,Y,187038582,5
Ramirez,Nicole,Mrs.,N,244042198,5
Lewis,Adam,Miss,Y,939174361,5
Kaufman,Gloria,Dr.,Y,1222558078,5
Arthur,Mindy,Ms.,Y,176454604,5
Wright,,Miss,,17152919,5
Lofton,Faith,Miss,Y,665435173,5
Lucero,Kenneth,Dr.,Y,172977836,5
Joseph,Liz,Miss,Y,1061537665,5
Gilliland,Shawn,Dr.,Y,947732938,5
Means,Brandy,Ms.,Y,1707464781,5
Stanley,Raymond,Dr.,N,1052649267,5
Collins,Janice,Dr.,N,1185515042,5
,,Mr.,Y,35254708,5
,,,N,1870577355,5
Bandy,Elizabeth,,,121065376,5
Betts,Steven,Dr.,N,969876807,5
Miller,Teresa,Miss,Y,1777629405,5
Boggs,Randall,Sir,N,1970082433,5
Hackett,Renee,Mrs.,Y,275012566,5
Easter,Cecilia,Ms.,Y,351415642,5
Patton,Toney,Mr.,N,842010694,5
Cameron,,,Y,1732608307,5
Jones,Marcos,Mr.,N,1642062650,5
Davila,Barry,Sir,Y,189618395,5
Walter,Earl,Sir,N,117772127,5
Wallace,Kevin,Mr.,N,2015130371,5
Giles,Lazaro,Dr.,N,1907130564,5
,Amy,Ms.,,127081732,5
Carpenter,Amelia,Dr.,Y,2146612612,5
Majors,Catherine,Mrs.,Y,19636558,5
Cantrell,Gloria,Mrs.,Y,847920292,5
Osborn,Ray,Sir,Y,1996019835,5
Haley,Michael,Mr.,Y,1228342857,5
West,Vina,Ms.,N,403425901,5
Coley,Dustin,Mr.,Y,965647564,5
Winfield,Gloria,Mrs.,Y,1761234044,5
Lawless,Roberta,Ms.,Y,157119035,5
Cooper,Marcos,Sir,N,802515009,5
Richards,William,Mr.,N,1016770250,5
Walker,Elisa,Dr.,N,725925190,5
Land,,,Y,1820110113,5
Callaway,Ryan,Sir,Y,276089720,5
Giles,Kathryn,Miss,N,224750099,5
Taylor,John,Sir,Y,1369484227,5
Taylor,Robert,Dr.,N,2011448340,5
Sneed,Michael,Mr.,Y,638131795,5
Jones,Andrea,Miss,N,2026210629,5
Haley,Denise,Mrs.,N,1333063606,5
Malone,Fred,Mr.,Y,113323596,5
Jones,,,,508868868,5
Steinberg,Noella,Miss,N,787846318,5
Himes,Joseph,Mr.,Y,514582131,5
Casas,Lowell,Dr.,N,1791963863,5
Hayes,Chris,Sir,Y,898172536,5
Mendoza,Rachel,Miss,N,1768833799,5
Skinner,Russell,Dr.,N,490696114,5
Schneider,Karen,Ms.,Y,207334308,5
Burns,Judy,Mrs.,Y,353109165,5
Malone,Christopher,,Y,1558064356,5
,Chester,Mr.,,1257014709,5
Cain,Flo,Dr.,Y,1926165857,5
Hartwell,Alonzo,Mr.,Y,780143652,5
,Shelly,,Y,1775985826,5
Wallace,Stacy,Mr.,N,756950476,5
Rogers,John,Sir,N,2048964991,5
Shearer,Richard,Mr.,Y,1911945394,5
Davis,Kathy,Ms.,Y,934056167,5
Swanson,Cheryl,Mrs.,N,1132953804,5
Ware,Keith,Sir,N,1719771080,5
Dawson,Kristine,Mrs.,N,513548101,5
Oliver,Harold,,,521696830,5
Holmes,Joseph,Sir,N,503826597,5
Spence,Kevin,Mr.,N,1551484377,5
Elmore,Christine,Mrs.,Y,1675670767,5
Kim,Shane,Sir,N,742871047,5
Hubbard,Norman,Dr.,Y,2040424170,5
Thomas,Justin,Sir,N,341427748,5
Dominquez,Christopher,Sir,N,1778816678,5
Matthews,Elton,Dr.,Y,873304584,5
Chamberlain,Anna,Ms.,Y,1593696317,5
Hodge,Kristy,Mrs.,N,135839872,5
Myers,Mark,Dr.,Y,392301902,5
Adams,Aaron,Miss,Y,1522759562,5
Clemons,Tony,Sir,Y,1994769858,5
Bender,Florence,Ms.,N,202276584,5
Logan,Tony,Dr.,Y,1104594292,5
Ramsey,Teresa,Miss,Y,759115643,5
Jaramillo,Charles,Dr.,N,600981844,5
,,Sir,N,2101994927,5
Brower,Peter,Sir,Y,1847000961,5
Dillard,Sara,Ms.,Y,1198910969,5
Wild,William,Dr.,N,2108554923,5
Grady,Felicia,Ms.,N,5018602,5
Flores,Nancy,Dr.,N,1418817896,5
Lewis,Linda,Mrs.,N,1582059272,5
Herndon,Melanie,Ms.,Y,1307360671,5
Andrade,Donna,Dr.,Y,1548831807,5
Sanders,Theresa,Ms.,N,283036667,5
Putman,Glinda,Ms.,Y,577478640,5
Robison,Rachelle,Mrs.,Y,218724876,5
Ogle,Diane,Miss,Y,1809035850,5
Faust,Fred,Mr.,N,1831897315,5
Chavez,Ivory,Mr.,N,63750320,5
Larsen,Art,Dr.,Y,1147548408,5
Alvarez,Michael,Sir,Y,1479149927,5
Pruitt,Bonita,Miss,N,1613849334,5
Thomas,Edward,Dr.,Y,2087509982,5
Gregory,Eunice,Ms.,N,1662588442,5
Glenn,Barbara,Miss,N,40727793,5
Luckett,Henry,Sir,N,35147601,5
Pond,Andrea,Mrs.,Y,1250360141,5
Martin,Rose,Mrs.,Y,218352466,5
Fleming,Dorothy,Miss,Y,687709662,5
Rodriquez,Stephanie,Mrs.,N,1920507230,5
Brown,Jo,Mrs.,N,565640868,5
Tibbs,Richard,Sir,N,2027295310,5
Brooks,Allyson,Ms.,N,1710193068,5
Ross,Cynthia,Dr.,N,1800774351,5
Simons,Marguerite,Dr.,Y,971258837,5
Sims,Crystal,Miss,Y,470640392,5
Rutledge,June,Mrs.,N,1281974554,5
Gunter,Meghan,Ms.,Y,646970152,5
Jenkins,Heather,Miss,N,1568880496,5
Bolin,Eliseo,Sir,N,2118301314,5
Phillips,Gordon,Mr.,N,431186511,5
Miller,Deanna,Ms.,Y,1294918514,5
Weiner,Linda,Dr.,Y,45475924,5
Taylor,Jessica,Miss,N,2088250123,5
Barrett,Brandi,Ms.,N,2040684637,5
Alvarado,Kevin,Sir,Y,1986445387,5
Dietz,Deborah,Ms.,N,388476947,5
Falcon,Richard,Mr.,Y,365520941,5
Harwell,Marvin,Dr.,N,2096851639,5
,,,,1211604887,5
Crow,Evan,Mr.,N,382824531,5
Clark,Casey,Mr.,N,878430305,5
Ward,Craig,Dr.,Y,1985337713,5
Rivera,Caridad,Mrs.,Y,909996824,5
Campos,Gabriel,Sir,Y,1972995151,5
Stepp,Sarah,Dr.,Y,1169429134,5
Durant,Amanda,Mrs.,N,805949580,5
Cave,Beth,Ms.,N,470419033,5
Slade,Brent,Sir,Y,1396216569,5
Moultrie,Amy,Miss,N,87168085,5
Reid,Lyle,Mr.,Y,705113438,5
Wilson,Thomas,Mr.,N,579796850,5
Walter,Jillian,Mrs.,N,409254550,5
Hurtado,James,Sir,N,1468203829,5
Robbins,Boyce,Sir,Y,96542291,5
Rivers,Katina,Dr.,N,1897533346,5
Owens,Annie,Miss,Y,1427026606,5
Johnson,Stephanie,Miss,Y,864558819,5
Dejesus,Kevin,Dr.,Y,501141478,5
Moore,Laura,Dr.,Y,1154197223,5
Havens,David,Mr.,N,1920899616,5
Rowell,Sheryl,Dr.,N,626836251,5
Spencer,Jasmine,Dr.,Y,1277309713,5
Kelly,Crystal,Mrs.,Y,1480787967,5
Owen,Mildred,Dr.,N,74769581,5
Serrano,Linda,Mrs.,Y,775018180,5
Hines,Eric,Dr.,Y,496069939,5
Alexander,Annette,Miss,Y,1944879026,5
Mcintosh,Nina,Ms.,Y,163679073,5
Duckett,Sherry,Ms.,Y,634073513,5
Dixon,Constance,Dr.,N,1378271064,5
Coleman,Loretta,Mrs.,Y,530760212,5
Ali,Ella,Miss,N,1510548347,5
Sanchez,Willie,Dr.,Y,375571010,5
Echols,Beverly,Ms.,N,524540867,5
Stitt,Teresa,Miss,Y,2016230014,5
Wright,Gerald,Sir,N,1821974006,5
Johnson,John,Sir,Y,1337452749,5
Roy,Jacqueline,Mrs.,Y,317652673,5
Sawyer,Laura,Miss,N,851532531,5
Bigelow,Elaine,Miss,N,1492686550,5
Long,Kenton,Dr.,Y,1759625728,5
Alley,Phillip,Dr.,N,76097452,5
Self,Elaine,Mrs.,,2047586885,5
Donohue,Kristin,Miss,Y,910130096,5
Williams,John,Dr.,N,1623272352,5
Allen,George,Dr.,N,1523966872,5
Alston,Brian,Dr.,N,918387019,5
Needham,Madeline,Mrs.,N,1533701269,5
Everson,Brett,Mr.,Y,916306656,5
Frank,Inez,Dr.,N,461243678,5
Cox,Frederick,Sir,Y,2114589198,5
Beard,Lucille,Ms.,Y,1332190955,5
Mcdougal,Kelly,Mr.,N,304408021,5
Murphy,Henry,Dr.,Y,1452579221,5
Gant,Reyes,Sir,N,1252154242,5
Fuller,Lydia,Ms.,Y,654111417,5
Ruiz,Jane,Miss,N,1960958184,5
Cantrell,Christopher,Sir,Y,540192958,5
Parker,Eric,Mr.,N,1804515872,5
Herron,Scott,Mr.,N,1382927127,5
Shoemaker,Sharon,Mrs.,Y,1693650,5
Brown,Linda,Mrs.,Y,1797865368,5
Clay,Chester,Dr.,Y,2109861380,5
Riley,Keith,Dr.,Y,1798576591,5
Thomas,Michael,Dr.,N,475973354,5
Edwards,Daniel,Dr.,Y,1509507573,5
Jackson,Anne,Mrs.,Y,592895767,5
Lacey,Jefferey,Mr.,Y,739823262,5
Carver,Roy,Dr.,Y,1951344606,5
Voss,Jennifer,Miss,Y,1082611809,5
Keel,Linda,Ms.,Y,1172772947,5
Mcduffie,Winnifred,Dr.,N,144735009,5
Miner,Bonita,Miss,N,1172662990,5
Pagan,Paul,Mr.,Y,1575197128,5
Mason,Marie,Ms.,Y,534873418,5
Ramirez,Thomas,Mr.,Y,2032626812,5
Johnson,Helen,Mrs.,Y,604427630,5
Little,Eleanor,Dr.,Y,2049838270,5
Gibson,Michael,Mr.,Y,1086521234,5
Pannell,Wilson,Sir,N,843877016,5
Henderson,Jane,Dr.,N,1648287852,5
Miller,Linda,Miss,N,399093760,5
Dixon,Kathryn,,N,472900728,5
Prewitt,Edwin,Mr.,Y,1999867140,5
Santana,Zachery,Dr.,N,468573756,5
George,Janet,Ms.,Y,1713285624,5
Smith,Jo,Miss,Y,23589854,5
Simpson,Robert,Dr.,N,1039653637,5
Jones,Jimmie,Dr.,N,1569195507,5
Howard,Kristen,Dr.,Y,347036966,5
Jones,Jeffrey,Sir,Y,931034379,5
Albert,Lisa,Ms.,N,1469047045,5
Mcneil,Tiffany,Miss,Y,517832203,5
West,Stephen,Sir,N,1855843317,5
Parker,Ryan,Mr.,Y,572393879,5
Holly,Darryl,Mr.,N,2089286646,5
Burnette,Sharon,Dr.,Y,1850448298,5
Mayes,Lynne,Dr.,Y,1792047156,5
Conaway,Dan,Mr.,N,1721973704,5
Thomas,Roger,Dr.,N,547365962,5
Diaz,William,Sir,N,424618716,5
Henry,Anita,Mrs.,N,373895746,5
Black,Melani,Miss,N,1342009655,5
Kennedy,John,Dr.,N,2094760325,5
Velasquez,William,Sir,Y,988220748,5
,Susan,,,1021065710,5
Mcwhorter,Joseph,Sir,N,1463917340,5
Hynes,John,Mr.,Y,128942303,5
Charlton,William,Mr.,Y,2074475843,5
Moody,Martha,Mrs.,Y,1853698494,5
,William,Dr.,,159149325,5
Steele,Monica,Mrs.,N,171569581,5
Wagner,Brittany,Dr.,N,1693883086,5
Kelly,Amy,Dr.,Y,1493628007,5
Hart,Tammie,Ms.,N,1756750759,5
Johnson,Juanita,Mrs.,N,1610500123,5
Allen,Marvin,Mr.,N,991751476,5
Carroll,Thomas,Dr.,Y,1735844740,5
Barron,Barbara,Dr.,N,491012615,5
Ward,Alice,Mrs.,N,2078971708,5
Holloway,Patsy,Ms.,Y,838666486,5
Lee,Joshua,Mr.,N,807676218,5
Ritchie,Darin,Sir,Y,966731113,5
Roger,John,Sir,N,615015394,5
Brant,Signe,Miss,N,1988950525,5
Wilkins,Justin,Mr.,N,1836608407,5
,James,Mr.,Y,837711292,5
Sherman,Henry,Sir,Y,2018693158,5
Wirth,Kristen,Miss,N,1528800151,5
Sanchez,Timothy,Mr.,N,1598547863,5
Jones,Derrick,Dr.,Y,1086569316,5
Garrett,Michael,Dr.,N,1016814206,5
Vargas,Joe,Mr.,N,914146943,5
Ball,Janet,Ms.,Y,644675825,5
Wilkerson,Linda,Mrs.,N,1342764317,5
Johnson,Christine,Ms.,Y,57443554,5
Meyers,Jacob,Dr.,N,981703043,5
Carter,Joyce,Dr.,Y,421727985,5
Rohr,Brett,Mr.,Y,294490650,5
Lopez,Heather,Miss,Y,1366382909,5
Smith,Loren,Sir,N,1918440388,5
Myers,Antonio,Ms.,Y,1973604469,5
Roach,Janette,Miss,N,1891437743,5
Dees,Leon,Mr.,Y,1279364162,5
Hoover,John,Sir,Y,2030969474,5
Brown,Julie,Ms.,N,718152495,5
Meador,Brian,Sir,Y,447903692,5
Massey,Andrea,Mrs.,N,1774099197,5
Doyle,Luis,Sir,Y,1128393263,5
Huber,Kenneth,Dr.,N,1978313282,5
Roche,Corina,Miss,N,1486026729,5
Clark,Barbara,Ms.,N,930048879,5
Stanley,Margaret,Dr.,Y,2123993103,5
Muse,,Mrs.,,2065540428,5
Carnes,Robert,Sir,Y,1592231112,5
Mueller,Juan,,N,1345917285,5
Dent,Carole,Dr.,Y,2123927233,5
Higgins,Wanda,Ms.,N,490192977,5
Harper,,Dr.,,1333780394,5
Wilson,Marc,Dr.,Y,1254201285,5
Staten,Robert,Sir,Y,1728049531,5
Brooks,Francisco,Sir,N,1144126156,5
Harris,Vincent,Dr.,N,2037556678,5
Baxter,Cassandra,Mrs.,N,645971536,5
Murphy,Paul,Dr.,Y,2085749346,5
Hall,Robert,Dr.,N,1776388607,5
Martin,Jacqueline,Ms.,N,1119137371,5
Carroll,John,Sir,Y,1318164631,5
Tapia,Rick,,,2079199705,5
Wilt,Marc,Sir,Y,1555096063,5
Rutledge,Katie,Dr.,Y,1739063402,5
Adams,Elizabeth,Mrs.,N,954051698,5
Ford,Loretta,Ms.,Y,655824330,5
Jimenez,Pauline,Dr.,Y,2028601585,5
Davis,Charlene,Miss,N,1855510092,5
Hill,Rosemary,Dr.,Y,1934693316,5
Harper,Timothy,Sir,Y,1333612217,5
Brown,Bernard,Mr.,Y,128168125,5
Bishop,,,,68253696,5
Smith,Tom,Sir,N,278941666,5
Whiteside,Michelle,Miss,N,1661076691,5
Wester,Kimberly,Mrs.,Y,574375061,5
Reynolds,Edward,Dr.,N,1738809280,5
Rose,Rodney,Sir,N,182256621,5
Bailey,Keith,Dr.,N,661984912,5
Adams,Clarence,Dr.,N,1478390578,5
Baker,,Dr.,,866092480,5
Johnson,Opal,Dr.,Y,642707883,5
Lucas,Shawn,Sir,N,82759281,5
Joyner,,,Y,1237044743,5
Nicholson,Ying,Mrs.,N,122315255,5
Mora,Columbus,Sir,N,1323103350,5
Santos,Cleveland,Dr.,N,1031860448,5
Jackson,Bernard,Sir,N,1291753264,5
Rangel,Ruth,Mrs.,N,1905153044,5
Sharpe,Gene,Dr.,Y,1225346218,5
Pittman,Evelyn,Mrs.,Y,1678341067,5
Garza,Richard,Dr.,Y,260705842,5
Jackson,Kathy,Mrs.,N,2097973722,5
Wilkinson,Laura,Dr.,Y,1656741514,5
Everson,Walter,Sir,N,712893363,5
Snow,Michael,Mr.,Y,512240088,5
Holloman,Winston,Mr.,Y,603949345,5
Lewis,Gretchen,Dr.,N,2056730206,5
Pate,Vanessa,Ms.,N,1127188214,5
Price,Daniel,Sir,Y,1168419961,5
Burke,Roberta,Ms.,N,1442023397,5
Mckenzie,Kathryn,Miss,N,1639169154,5
Norris,Yolanda,Ms.,N,45799771,5
Ricks,Helen,Mrs.,Y,99235608,5
Seal,Ramiro,Mr.,N,1857618716,5
Zhang,Jose,Mr.,N,893489074,5
,,Sir,,746962951,5
Bouchard,,,Y,526578507,5
Nelson,Timothy,Dr.,N,524292453,5
Hensley,Edward,Dr.,N,1243017681,5
Smith,Margaret,Dr.,N,737594780,5
Harris,Ana,Mrs.,Y,851899805,5
Bloom,Richard,Dr.,Y,577258944,5
Adams,Danielle,Dr.,N,821204105,5
Fortin,Nathaniel,Sir,Y,1225806496,5
Anderson,Martha,Miss,Y,1207287385,5
Brown,James,Dr.,N,1402016788,5
Price,Wesley,Sir,N,453723520,5
Wilson,Jessica,Dr.,N,8517975,5
Campbell,Estella,Miss,N,1353691146,5
Oglesby,James,Dr.,N,922511221,5
Witherspoon,Blanche,Miss,N,368789887,5
Kline,Juan,Dr.,N,1897491865,5
Clements,Suzanne,Mrs.,Y,1541087422,5
Neal,Ericka,Dr.,N,2140909424,5
Ouellette,Naomi,Ms.,Y,1419274040,5
Parish,Roberto,Mr.,Y,1684612720,5
Chase,Christopher,Dr.,Y,371103894,5
Smith,Judy,Dr.,N,1634559562,5
Harris,Andrew,Miss,N,1807616117,5
Mccoy,William,Sir,N,1727602237,5
Capps,Noemi,Mrs.,Y,1214590770,5
Walton,Eduardo,Mr.,Y,1753013662,5
Eldridge,Megan,Miss,Y,1086803581,5
Hussey,Laura,Miss,N,651375687,5
Nguyen,Beatrice,Ms.,Y,696179398,5
Rigby,Anna,Ms.,N,1043460967,5
Moore,Rachel,Mrs.,N,1607775550,5
Hitchcock,Arleen,Miss,N,1559979808,5
Bates,Erik,Mr.,N,650876598,5
Vasquez,Franklin,Mr.,N,844375958,5
Vargas,Harry,Mr.,N,174750792,5
Wilkerson,James,Dr.,Y,2088686471,5
Hale,Kenneth,Dr.,Y,1273465425,5
Ewing,Evelyn,Mrs.,N,1396493978,5
Ferreira,Roy,Sir,Y,504701118,5
Boucher,Faye,Mrs.,Y,223928726,5
Henderson,Kathleen,Ms.,N,1859580309,5
Davis,Melissa,Ms.,N,18972769,5
Seymore,Karl,Mr.,Y,1088789182,5
Arnold,William,Dr.,N,1580217817,5
West,Luis,Mr.,N,554300513,5
Green,Walter,Mr.,N,1689163906,5
Foster,Kathleen,Mrs.,N,215288126,5
Bennett,Cecilia,Mrs.,N,727058106,5
Ward,Iona,Miss,Y,2060326754,5
Scherer,Charlie,Mr.,N,374421201,5
Harrison,Gertrude,Dr.,Y,1376751765,5
Walker,Nancy,Ms.,N,782513543,5
Quintana,Patrick,Dr.,N,1342018649,5
Marsh,Walter,Sir,N,222850642,5
Luciano,David,Mr.,N,781368253,5
James,Kenneth,Sir,Y,1812907184,5
,,Sir,N,1435401451,5
,,,,1911661039,5
Askew,Cora,Ms.,Y,1302577570,5
Haney,Michael,Sir,N,1189752497,5
Evans,,Dr.,,1376992376,5
Strong,Antoinette,Miss,Y,1138795514,5
Myers,Keith,Sir,N,1505699422,5
Wagner,Tom,Dr.,N,1157873245,5
Lester,Elizabeth,Mrs.,Y,1849660572,5
Berry,Christa,Mrs.,N,711781213,5
Winters,Henry,Dr.,Y,1007406757,5
Hicks,Marissa,Dr.,N,1701006280,5
Yates,Bryce,Mr.,Y,846173380,5
Roldan,Don,Mr.,Y,1817544961,5
Welch,,,N,1403406041,5
Johnson,Christina,Miss,Y,1063059860,5
George,Frederick,Mr.,N,405311807,5
Danielson,Michael,Sir,N,579481515,5
Pearson,James,Sir,N,126190992,5
Wheeler,Angela,Mrs.,N,268111273,5
,,,Y,327498464,5
Douglas,Jon,Sir,Y,1729721347,5
Seymour,Frank,Sir,N,159583164,5
Walker,Robert,Sir,Y,906068326,5
Hahn,,,N,639473884,5
Hawkins,Raymond,Mr.,Y,1451845216,5
Sanchez,Christina,Mrs.,N,697904189,5
Olson,Scott,Sir,Y,1265018197,5
Leach,Christopher,Dr.,Y,345353397,5
Quinn,Adam,Mrs.,Y,512767905,5
Gaither,Maryann,Miss,Y,780401628,5
Polanco,Pamela,Miss,Y,1638028594,5
Jackson,David,Mr.,N,717760954,5
West,Jennifer,Miss,N,1618257211,5
Aiken,Mike,Dr.,Y,941365651,5
Crosby,David,Dr.,N,2010496171,5
Rodriguez,Anthony,Ms.,N,1769333810,5
King,Juana,Miss,Y,821535625,5
Garza,Phillip,Mr.,N,819878777,5
Holcomb,Ellen,,Y,371952046,5
Martinez,Beatrice,Ms.,Y,1290622834,5
Allen,Anna,Miss,Y,8648427,5
Butcher,Rachel,Ms.,N,250449517,5
Slack,George,Mr.,Y,662216502,5
Mckenna,Catherine,Miss,Y,1822260272,5
White,Rachael,Dr.,N,1240530230,5
Rosenberg,Arthur,Mrs.,Y,857982451,5
Paulson,William,Sir,N,1578005554,5
Sparks,Alexandria,Ms.,Y,323549384,5
Foster,Bryan,Sir,Y,1677071247,5
Johnson,Lewis,Dr.,Y,1736674460,5
Mullins,David,Sir,Y,238770326,5
Silva,Adam,Ms.,N,69193438,5
Herron,Willie,Dr.,Y,551605988,5
Haynes,Barbara,Dr.,Y,381601500,5
Howard,Patrica,Miss,N,257161430,5
Saenz,Ellen,Miss,N,213604187,5
Anderson,Carolyn,Dr.,N,283776986,5
Robinson,Herbert,Sir,Y,55698565,5
Swift,Gladys,Dr.,N,1160599403,5
Landers,Dolores,Dr.,N,342332846,5
Mears,,Sir,Y,508149203,5
Robinson,Martha,Ms.,N,2131721367,5
Burton,Fannie,Ms.,N,1457276006,5
Sands,Jacob,Mr.,N,903207907,5
Fleck,Larry,Dr.,Y,272828786,5
Walter,Helen,Dr.,N,872211791,5
Barnes,Albert,Mrs.,N,875633389,5
Armstrong,Anna,Ms.,Y,1211863976,5
Ammons,Susan,Miss,Y,143721565,5
Rogers,Christopher,Mr.,N,715575529,5
Moss,Marshall,Mr.,Y,119178883,5
Gustafson,Michelle,Miss,N,904553526,5
Williams,Melissa,Miss,N,1989603602,5
,Kirk,Dr.,,902840144,5
,Joseph,,Y,1247486468,5
Robinson,Janis,Mrs.,Y,844710269,5
Briggs,Mason,Sir,N,1717139945,5
Porter,Kristina,Mrs.,Y,1822042476,5
Reilly,Eleanor,Ms.,Y,1924291700,5
Hancock,Michael,Mr.,N,1271941682,5
Carpenter,Jacqueline,Ms.,Y,1132627218,5
Flora,Sandra,Ms.,N,168010758,5
Stephens,Deborah,Ms.,Y,1132588374,5
Hurley,Iris,Miss,N,1687446480,5
Barnard,Dan,Sir,Y,299529786,5
Moore,David,Sir,Y,487071241,5
Shaw,Dessie,Miss,Y,485545767,5
Copeland,Kimberly,Ms.,Y,785744641,5
Harrison,Bobby,Sir,Y,1506515396,5
Phillips,Margaret,Miss,Y,1461451403,5
Bunch,Carolyn,Dr.,N,1881205944,5
Stoddard,Nancy,Mrs.,N,1287875833,5
Robinson,Brittany,Mrs.,Y,1918700992,5
Strange,John,Sir,N,2109334023,5
Washington,Robert,Mr.,N,1813217137,5
Powell,,,,1554693365,5
Simms,Amy,Mrs.,Y,190252786,5
Nava,Alberta,Dr.,N,1987459256,5
Booker,Carrie,Ms.,Y,1591598066,5
Pappas,Angela,Mrs.,N,1753989796,5
Brown,Ann,Ms.,N,178308169,5
Dillon,Donn,Mr.,N,614872537,5
Howard,Ethel,Ms.,Y,382386953,5
Patel,Angela,Miss,Y,1893320939,5
Howard,Kyle,Sir,Y,264590359,5
Ott,Marc,Sir,N,1073720026,5
Crandall,Phillip,Sir,N,295565512,5
Pearson,John,Sir,Y,2033462743,5
Neville,Joey,Mr.,Y,118430683,5
Bloom,Susan,Dr.,N,653038467,5
Grayson,James,Dr.,N,1389180798,5
Rader,Daniel,Mr.,N,125863549,5
Holmes,Carlos,Dr.,Y,2005567889,5
Thompson,Ted,Sir,N,919387940,5
Parks,Howard,Dr.,N,404311950,5
Battle,Stephen,Sir,Y,1165014889,5
Hall,James,Dr.,N,550533706,5
James,William,Dr.,N,1399164812,5
Carr,Donald,Sir,Y,950861239,5
Rollins,Merle,Sir,N,382055476,5
Johnson,Billy,Dr.,N,437050810,5
Perez,Lori,Miss,N,993491361,5
King,Laura,Ms.,Y,111637792,5
Reid,Richard,Dr.,Y,358050831,5
Martinez,John,Sir,N,65968860,5
Russell,Danny,Sir,N,967627260,5
Smith,Helen,Dr.,N,2110360921,5
Thomson,John,Mr.,N,1220603266,5
Earley,James,Sir,N,1259319399,5
Potter,Steven,Dr.,Y,876818759,5
Jones,Floyd,Sir,N,564173907,5
Brown,William,Sir,N,1046529302,5
Taylor,Samuel,Sir,Y,1694913203,5
Crowe,Julia,Ms.,N,1944747354,5
Welch,Laura,Miss,Y,644946105,5
Anderson,Bert,Dr.,Y,1306174741,5
Hixson,Stella,Mrs.,Y,676782000,5
Decker,Cheryl,,Y,895954321,5
Cope,Ramon,Sir,N,142535314,5
Thompson,Grace,Dr.,Y,1441583987,5
Keefe,Michael,Sir,N,600652065,5
,,Sir,Y,1144169517,5
Craft,Betty,Mrs.,Y,462565958,5
Miller,Sarah,Ms.,Y,189232383,5
Mock,Irvin,Mr.,N,372116297,5
Ogden,Sarah,Miss,Y,1524743275,5
Elrod,Charles,Mr.,Y,1968148795,5
Miles,Dudley,Sir,Y,1314037188,5
Hall,William,Sir,Y,1859113251,5
Baker,Molly,Ms.,N,262474907,5
Talbot,Ryan,Dr.,Y,955896087,5
Malone,Dong,Mr.,Y,777067168,5
,Daniel,Sir,,153146394,5
Mccann,Clara,Ms.,N,1904651926,5
Rogers,Wayne,Sir,N,469309401,5
